model,line_name,planning_year,case,unit,start_value,end_value
SWITCH,PJMW_to_PJMD,2040,base_52_week,MW,6930.000001191314,6930.000001202895
SWITCH,BASN_to_RMRG,2040,base_52_week,MW,3750.000006729163,3750.0000354544895
SWITCH,BASN_to_CASO,2040,base_52_week,MW,5920.000046839239,5920.0000471688645
SWITCH,BASN_to_NWPP,2040,base_52_week,MW,3350.000002256587,3350.0000024768906
SWITCH,BASN_to_SRSG,2040,base_52_week,MW,5385.000002777938,5385.000002817821
SWITCH,SRCE_to_MISS,2040,base_52_week,MW,4092.0000012756727,4092.00000127964
SWITCH,SRCE_to_SRSE,2040,base_52_week,MW,3196.0000001766216,3196.0000001848503
SWITCH,SPPS_to_MISS,2040,base_52_week,MW,21359.0890008568,21981.21537905961
SWITCH,SPPS_to_SRSG,2040,base_52_week,MW,8668.492320082298,12137.35109325742
SWITCH,SPPS_to_SPPN,2040,base_52_week,MW,5718.341322619621,5839.942190510277
SWITCH,RMRG_to_NWPP,2040,base_52_week,MW,5022.234193354212,5043.869313102558
SWITCH,RMRG_to_SRSG,2040,base_52_week,MW,2102.896575772633,2405.549839382822
SWITCH,MISS_to_SRSE,2040,base_52_week,MW,7881.103921986011,7936.411656579666
SWITCH,CASO_to_NWPP,2040,base_52_week,MW,2858.000001370524,2858.00000142824
SWITCH,CASO_to_SRSG,2040,base_52_week,MW,8761.234933156493,10291.906046458767
SWITCH,SPPN_to_MISW,2040,base_52_week,MW,5512.00001375355,5512.000013953773
SWITCH,NWPP_to_SPPN,2040,base_52_week,MW,1260.4685777589184,1552.4049972258497
SWITCH,NWPP_to_MISW,2040,base_52_week,MW,200.00000050137405,200.0000005251651
SWITCH,RMRG_to_SPPN,2040,base_52_week,MW,3991.39800402139,4805.021479081901
SWITCH,RMRG_to_SPPC,2040,base_52_week,MW,8736.653136416768,8737.607462967662
SWITCH,SRSG_to_TRE,2040,base_52_week,MW,2424.4395163574472,3252.0871223699423
SWITCH,PJMC_to_MISC,2045,base_52_week,MW,5244.000001255813,5244.000001389526
SWITCH,PJMC_to_PJMW,2045,base_52_week,MW,11392.030093908732,11392.03009392963
SWITCH,PJMC_to_MISW,2045,base_52_week,MW,10548.662025935017,11662.49998925149
SWITCH,PJME_to_NYUP,2045,base_52_week,MW,9636.69723158469,10269.772248565998
SWITCH,PJME_to_PJMW,2045,base_52_week,MW,39224.60106027553,45730.37790946772
SWITCH,PJME_to_NYCW,2045,base_52_week,MW,10977.90644032515,12059.356094321218
