model,line_name,planning_year,case,unit,value
SWITCH,PJMW_to_SRCE,2040,base_52_week,MW,5.068977770861238e-08
SWITCH,PJMW_to_PJMD,2040,base_52_week,MW,1.1580596037674695e-08
SWITCH,BASN_to_RMRG,2040,base_52_week,MW,2.8725326501444215e-05
SWITCH,BASN_to_CASO,2040,base_52_week,MW,3.2962543627945706e-07
SWITCH,BASN_to_NWPP,2040,base_52_week,MW,2.203037183790002e-07
SWITCH,BASN_to_SRSG,2040,base_52_week,MW,3.988316166214645e-08
SWITCH,SRCE_to_MISS,2040,base_52_week,MW,3.967215889133513e-09
SWITCH,SRCE_to_SRSE,2040,base_52_week,MW,8.228653314290568e-09
SWITCH,SPPS_to_MISS,2040,base_52_week,MW,622.1263782028109
SWITCH,SPPS_to_SRSG,2040,base_52_week,MW,3468.858773175123
SWITCH,SPPS_to_SPPN,2040,base_52_week,MW,121.60086789065645
SWITCH,RMRG_to_NWPP,2040,base_52_week,MW,21.63511974834637
SWITCH,RMRG_to_SRSG,2040,base_52_week,MW,302.65326361018924
SWITCH,MISS_to_SRSE,2040,base_52_week,MW,55.30773459365446
SWITCH,CASO_to_NWPP,2040,base_52_week,MW,5.771607902715914e-08
SWITCH,CASO_to_SRSG,2040,base_52_week,MW,1530.6711133022745
SWITCH,SPPN_to_MISW,2040,base_52_week,MW,2.002234396059066e-07
SWITCH,NWPP_to_SPPN,2040,base_52_week,MW,291.9364194669313
SWITCH,NWPP_to_MISW,2040,base_52_week,MW,2.3791045578036574e-08
SWITCH,RMRG_to_SPPN,2040,base_52_week,MW,813.6234750605108
SWITCH,RMRG_to_SPPC,2040,base_52_week,MW,0.9543265508946206
SWITCH,SRSG_to_TRE,2040,base_52_week,MW,827.6476060124951
SWITCH,PJMC_to_MISC,2045,base_52_week,MW,1.3371300155995414e-07
SWITCH,PJMC_to_PJMW,2045,base_52_week,MW,2.0898369257338345e-08
SWITCH,PJMC_to_MISW,2045,base_52_week,MW,1113.8379633164732
SWITCH,PJME_to_NYUP,2045,base_52_week,MW,633.0750169813073
